Registration Number,ECI Title,Rejection Type,Rejection Reason,Rejection Reason (Preview)
2012/000005,One of us,Rejected - Already Covered,"One of us was submitted to the Commission on 28/02/2014 having gathered 1,721,626 statements of support. See press release . The organisers met with the Commissioner responsible for Research, Innovation and Science, Ms Geoghegan-Quinn, and the Deputy Director-General responsible for Development and Cooperation, Mr. Cornaro on 09/04/2014. See press release . A public hearing took place at the European Parliament on 10/04/2014.","One of us was submitted to the Commission on 28/02/2014 having gathered 1,721,626 statements of support. See press release . The organisers met with the Commissioner responsible for Research, Innovati..."
2017/000004,Minority SafePack – one million signatures for diversity in Europe,Rejected - Already Covered,"Minority SafePack – one million signatures for diversity in Europe was submitted to the European Commission on 10 January 2020, having gathered 1,123,422 statements of support. See press release . The organisers met with European Commission Vice-President for ‘Values and Transparency’, Věra Jourová and Commissioner for ‘Innovation, Research, Culture, Education and Youth’, Mariya Gabriel on 5 February 2020. A public hearing took place at the European Parliament on 15 October 2020. See press release . The initiative was debated at the European Parliament’s plenary session on 14 December 2020. In the resolution adopted on 17 December 2020, the European Parliament expressed its support for the initiative. See European Parliament’s press release . The Commission adopted a Communication on 14 January 2021 setting out how existing and recently adopted EU legislation supports the different aspects of the Minority SafePack Initiative. The reply outlined further follow-up actions. See press release .","Minority SafePack – one million signatures for diversity in Europe was submitted to the European Commission on 10 January 2020, having gathered 1,123,422 statements of support. See press release . The..."
2019/000007,Cohesion policy for the equality of the regions and sustainability of the regional cultures,Rejected - Already Covered,"The 'Cohesion policy for the equality of the regions and sustainability of the regional cultures ' initiative was submitted to the European Commission on 4 March 2025, after having gathered 1,269,351 verified statements of support. See European Commission news . On 25 March 2025, the initiative organisers were given the opportunity to present the objectives of their initiative in the meeting with Executive Vice-President Raffaele Fitto and European Commission officials, in line with Article 15 of the ECI Regulation. See the photo news . The presentation of this initiative in a public hearing at the European Parliament took place on 25 June 2025. The organisers provided details about their objectives and the Members of the European Parliament exchanged views on this initiative. Watch the recording . A debate on this initiative was held in the plenary session of the European Parliament on 10 July 2025. See the video recording . The Commission adopted a Communication on 3 September 2025 setting out its response to this initiative. See the Commission's news .","The 'Cohesion policy for the equality of the regions and sustainability of the regional cultures ' initiative was submitted to the European Commission on 4 March 2025, after having gathered 1,269,351 ..."
2012/000007,Stop vivisection,Rejected - Alternative Actions,"Stop Vivisection was submitted to the Commission on 3 March 2015, having gathered 1,173,130 statements of support. See press release . The organisers met with European Commission Vice-President Jyrki Katainen, responsible for Jobs, Growth, Investment and Competitiveness and Director-General Karl Falkenberg, responsible for DG Environment, on 11 May 2015. See press release . A public hearing took place at the European Parliament on 11 May 2015.","Stop Vivisection was submitted to the Commission on 3 March 2015, having gathered 1,173,130 statements of support. See press release . The organisers met with European Commission Vice-President Jyrki ..."
